respondent_id,Knowledge_score,gender_female,gender_male,gender_non-binary,gender_prefer_not_to_say,age_less_than_18,age_19-30,age_31-40,age_41-55,age_56-65,age_over_65,country_Cyprus,country_France,country_Germany,country_Italy,country_Serbia,country_Spain,country_Switzerland,country_United_Kingdom,nationality_Andorra,nationality_Argentina,nationality_Australia,nationality_Belarus,nationality_Belgium,nationality_Benin,nationality_Bolivia,nationality_Bosnia_&_Herzegovina,nationality_Brazil,nationality_Bulgaria,nationality_Cameroon,nationality_Canada,nationality_Chile,nationality_China,nationality_Cyprus,nationality_El_Salvador,nationality_France,nationality_Germany,nationality_Greece,nationality_India,nationality_Indonesia,nationality_Iran,nationality_Ireland,nationality_Italy,nationality_Jordan,nationality_Lebanon,nationality_Mexico,nationality_Netherlands,nationality_Nigeria,nationality_Pakistan,nationality_Poland,nationality_Romania,nationality_Serbia,nationality_Sierra_Leone,nationality_Spain,nationality_Switzerland,nationality_Turkey,nationality_United_Kingdom,nationality_United_States,educational_level_primary_school,educational_level_high_school,educational_level_bachelors_degree,educational_level_masters_degree,educational_level_PhD_or_equivalent,Cluster
1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
2,0.928571429,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
3,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
4,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
5,0.928571429,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
6,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
7,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
8,0.857142857,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
9,0.428571429,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5
10,0.928571429,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
